"Index","AVID.Close"
2013-04-19,6.28
2013-04-22,6.31
2013-04-23,6.48
2013-04-24,6.69
2013-04-25,6.75
2013-04-26,6.76
2013-04-29,6.71
2013-04-30,6.59
2013-05-01,6.49
2013-05-02,6.86
2013-05-03,6.87
2013-05-06,6.86
2013-05-07,6.89
2013-05-08,6.94
2013-05-09,6.82
2013-05-10,6.91
2013-05-13,6.92
2013-05-14,6.89
2013-05-15,6.95
2013-05-16,6.99
2013-05-17,7.01
2013-05-20,6.93
2013-05-21,6.87
2013-05-22,6.82
2013-05-23,6.71
2013-05-24,6.81
2013-05-28,6.68
2013-05-29,6.42
2013-05-30,6.57
2013-05-31,6.38
2013-06-03,6.49
2013-06-04,6.57
2013-06-05,6.52
2013-06-06,6.5
2013-06-07,6.62
2013-06-10,6.65
2013-06-11,6.33
2013-06-12,6.24
2013-06-13,6.32
2013-06-14,6.21
2013-06-17,6.22
2013-06-18,6.41
2013-06-19,6.32
2013-06-20,6.23
2013-06-21,6.3
2013-06-24,6.19
2013-06-25,6.11
2013-06-26,6.06
2013-06-27,6.06
2013-06-28,5.88
2013-07-01,5.79
2013-07-02,5.77
2013-07-03,5.81
2013-07-05,6.08
2013-07-08,5.95
2013-07-09,6.05
2013-07-10,5.92
2013-07-11,6.15
2013-07-12,6.21
2013-07-15,6.23
2013-07-16,6.17
2013-07-17,6.19
2013-07-18,6.18
2013-07-19,6.13
2013-07-22,6.13
2013-07-23,6.14
2013-07-24,6.21
2013-07-25,6.3
