"Index","ATMI.Close"
2011-10-31,20.4
2011-11-01,19.71
2011-11-02,19.79
2011-11-03,20.28
2011-11-04,20.19
2011-11-07,20.16
2011-11-08,20.43
2011-11-09,19.43
2011-11-10,19.87
2011-11-11,20.86
2011-11-14,20.43
2011-11-15,20.91
2011-11-16,20.55
2011-11-17,19.89
2011-11-18,19.85
2011-11-21,19.31
2011-11-22,18.99
2011-11-23,18.43
2011-11-25,18.28
2011-11-28,19.06
2011-11-29,18.92
2011-11-30,20.7
2011-12-01,20.66
2011-12-02,20.6
2011-12-05,20.93
2011-12-06,20.88
2011-12-07,20.55
2011-12-08,19.87
2011-12-09,20.43
2011-12-12,19.82
2011-12-13,19.4
2011-12-14,19.17
2011-12-15,19.36
2011-12-16,19.91
2011-12-19,19.42
2011-12-20,20.45
2011-12-21,20.44
2011-12-22,20.44
2011-12-23,20.56
2011-12-27,20.73
2011-12-28,20.13
2011-12-29,20.36
2011-12-30,20.03
