"Index","CM.Close"
2013-01-09,0.01019
2013-01-10,0.00506
2013-01-11,-0.00084
2013-01-14,0.00204
2013-01-15,0.00228
2013-01-16,-0.00192
2013-01-17,0.00216
2013-01-18,0.00179
2013-01-22,0.00203
2013-01-23,-0.00514
2013-01-24,-0.00036
2013-01-25,-0.00481
2013-01-28,0.00648
2013-01-29,0.00275
2013-01-30,-0.00359
2013-01-31,-0.00168
2013-02-01,0.00622
2013-02-04,-0.01079
2013-02-05,0.00108
2013-02-06,-0.00084
2013-02-07,-0.00483
2013-02-08,-0.00012
2013-02-11,-0.00206
2013-02-12,0.00182
2013-02-13,0.00748
2013-02-14,0.00084
2013-02-15,-0.00337
2013-02-19,0.00637
2013-02-20,-0.00468
2013-02-21,-0.00458
2013-02-22,-0.00218
2013-02-25,-0.01624
2013-02-26,0.00172
2013-02-27,0.00759
2013-02-28,-0.01635
2013-03-01,0.00149
2013-03-04,-0.00087
2013-03-05,0.00531
2013-03-06,-0.00469
2013-03-07,0.00148
2013-03-08,-0.00521
2013-03-11,0.00977
2013-03-12,-0.00209
2013-03-13,-0.01254
2013-03-14,0.00411
2013-03-15,0.00099
2013-03-18,-0.00261
2013-03-19,-0.00262
2013-03-20,0.00112
2013-03-21,-0.01281
2013-03-22,0.00705
2013-03-25,-0.00491
2013-03-26,-0.01435
2013-03-27,-0.00667
2013-03-28,0.00999
2013-04-01,0.00089
2013-04-02,0.01127
2013-04-03,-0.00581
2013-04-04,-0.00521
2013-04-05,-0.0114
2013-04-08,-0.00984
2013-04-09,0.00234
2013-04-10,0.0093
2013-04-11,-0.00283
2013-04-12,-0.00582
2013-04-15,-0.02602
2013-04-16,0.01454
2013-04-17,-0.01175
2013-04-18,0.00688
2013-04-19,0.00211
2013-04-22,-0.00039
2013-04-23,0.00039
2013-04-24,0.01125
2013-04-25,0.00454
2013-04-26,-0.00207
2013-04-29,0.01724
2013-04-30,0.02045
2013-05-01,-0.00753
2013-05-02,-5e-04
2013-05-03,-0.00227
2013-05-06,0.00126
2013-05-07,0.00816
2013-05-08,0.00536
2013-05-09,-0.01694
2013-05-10,-0.00558
2013-05-13,-0.00102
2013-05-14,-0.01683
2013-05-15,-0.00546
2013-05-16,0.00273
2013-05-17,-0.00521
2013-05-20,0.00274
2013-05-21,0.01461
2013-05-22,-0.00889
2013-05-23,0.00478
2013-05-24,0.00039
2013-05-28,-0.00284
2013-05-29,0.00284
2013-05-30,-0.00958
2013-05-31,-0.01798
2013-06-03,0.00607
2013-06-04,-0.00634
2013-06-05,-0.00931
2013-06-06,0.00493
2013-06-07,0.00557
2013-06-10,0.00659
2013-06-11,-0.01057
2013-06-12,-0.00359
2013-06-13,0.01678
2013-06-14,-0.00631
2013-06-17,0.00198
2013-06-18,-0.00053
2013-06-19,-0.01006
2013-06-20,-0.03272
2013-06-21,-0.01106
2013-06-24,0.00028
2013-06-25,0.00623
2013-06-26,-0.01125
2013-06-27,0.0039
2013-06-28,-0.01274
2013-07-01,0.00113
2013-07-02,-0.00254
2013-07-03,-0.00722
2013-07-05,-0.00199
2013-07-08,0.0027
2013-07-09,0.00863
2013-07-10,-0.00381
2013-07-11,0.0287
2013-07-12,0.00288
2013-07-15,-0.00014
2013-07-16,0.00355
2013-07-17,0.01005
2013-07-18,0.01275
2013-07-19,-0.00723
2013-07-22,0.00643
2013-07-23,0.01352
2013-07-24,0
2013-07-25,0
2013-07-26,0.00302
2013-07-29,0.00759
2013-07-30,-0.00366
2013-07-31,-0.00761
2013-08-01,-0.00132
2013-08-02,0
2013-08-05,-0.00264
2013-08-06,-0.01104
2013-08-07,-0.00819
2013-08-08,0.01153
2013-08-09,-0.00361
2013-08-12,0.01895
2013-08-13,0.00171
2013-08-14,-0.00236
2013-08-15,-0.00395
2013-08-16,0.00592
2013-08-19,-0.00434
2013-08-20,0.00118
2013-08-21,-0.00938
2013-08-22,0.00119
2013-08-23,0.00937
2013-08-26,0.01007
2013-08-27,-0.00378
2013-08-28,0.00287
2013-08-29,0.02113
2013-08-30,-0.00306
2013-09-03,-0.00359
2013-09-04,0.00269
2013-09-05,0.00879
2013-09-06,0.00494
2013-09-09,0.00151
2013-09-10,-0.00139
2013-09-11,0.00164
2013-09-12,-0.00784
2013-09-13,-0.00343
2013-09-16,0.00926
2013-09-17,0.0068
2013-09-18,0.00849
2013-09-19,-0.00461
2013-09-20,0.00498
2013-09-23,0.00706
2013-09-24,0.00333
2013-09-25,-0.0185
2013-09-26,0.00188
2013-09-27,0.00187
2013-09-30,-0.0045
2013-10-01,0.00338
2013-10-02,-0.00376
2013-10-03,-0.00352
2013-10-04,0.00339
2013-10-07,-0.0039
2013-10-08,-0.00809
2013-10-09,-0.00178
2013-10-10,0.0095
2013-10-11,0.00703
2013-10-14,0.00636
2013-10-15,-0.00624
2013-10-16,0.00735
2013-10-17,0.00693
2013-10-18,0.00578
2013-10-21,0.0163
2013-10-22,0.01283
2013-10-23,-0.00657
2013-10-24,-0.00794
2013-10-25,0.00314
2013-10-28,0.00253
2013-10-29,0.00981
2013-10-30,0.00392
2013-10-31,0.0092
2013-11-01,0.0041
2013-11-04,-0.00187
2013-11-05,-0.00682
2013-11-06,0.00741
2013-11-07,-0.00741
2013-11-08,0.00365
2013-11-11,0.00563
2013-11-12,-0.00105
2013-11-13,0.00862
2013-11-14,0.00243
2013-11-15,0.00703
2013-11-18,-0.00034
2013-11-19,-0.00104
2013-11-20,0.00368
2013-11-21,-0.0069
2013-11-22,0.00254
2013-11-25,-0.00104
2013-11-26,-0.00219
2013-11-27,-0.01045
2013-11-29,0.00408
2013-12-02,-0.00221
2013-12-03,-0.01255
2013-12-04,-0.0058
2013-12-05,-0.00906
2013-12-06,0.01698
2013-12-09,0.00622
2013-12-10,-0.00352
2013-12-11,-0.00447
2013-12-12,-0.00698
2013-12-13,-0.00238
2013-12-16,0.00357
2013-12-17,0
2013-12-18,0.0013
2013-12-19,0.00355
2013-12-20,0.00283
2013-12-23,0.00446
2013-12-24,-0.00458
2013-12-26,-0.00059
2013-12-27,-0.00271
2013-12-30,0.00495
2013-12-31,0.00399
2014-01-02,-0.01213
2014-01-03,-0.0032
2014-01-06,-0.0092
2014-01-07,-0.01475
2014-01-08,-0.00795
2014-01-09,0.00294
2014-01-10,-0.00984
2014-01-13,0.01021
2014-01-14,-0.01342
2014-01-15,0.00581
2014-01-16,0.00136
2014-01-17,-0.00271
2014-01-21,0.00345
2014-01-22,-0.00691
2014-01-23,-0.00709
2014-01-24,-0.00839
2014-01-27,-0.01713
2014-01-28,0.00051
2014-01-29,-0.00539
2014-01-30,-0.00013
2014-01-31,-0.00039
2014-02-03,-0.00632
2014-02-04,-0.00117
2014-02-05,0.01224
2014-02-06,0.0126
2014-02-07,0.00152
2014-02-10,0.00114
2014-02-11,0.00791
2014-02-12,0.00549
2014-02-13,0.0088
2014-02-14,0.00419
2014-02-18,0.00417
2014-02-19,-0.00798
2014-02-20,0.00185
2014-02-21,-0.00333
2014-02-24,0.00554
2014-02-25,0.00147
2014-02-26,-0.00147
2014-02-27,0.00965
2014-02-28,0.01915
2014-03-03,-0.00119
2014-03-04,0.005
2014-03-05,0.0117
2014-03-06,0.00597
2014-03-07,-0.01068
2014-03-10,0.00588
2014-03-11,0.0119
2014-03-12,-0.00093
2014-03-13,-0.00279
2014-03-14,-0.00654
2014-03-17,0.01072
2014-03-18,-0.00418
2014-03-19,-0.00689
2014-03-20,0.00328
2014-03-21,-0.00012
2014-03-24,0.0014
2014-03-25,0.00547
2014-03-26,-0.01379
2014-03-27,0.00785
2014-03-28,0.00105
2014-03-31,0.00488
2014-04-01,0.00336
2014-04-02,0.00035
2014-04-03,-0.00708
2014-04-04,0.00615
2014-04-07,0.00358
2014-04-08,0.00769
2014-04-09,0.00798
2014-04-10,-0.00992
2014-04-11,-0.00264
2014-04-14,0.00356
2014-04-15,-0.00379
2014-04-16,-0.00173
2014-04-17,0.00814
2014-04-21,-0.00057
2014-04-22,-0.00183
2014-04-23,-0.00609
2014-04-24,0.00035
2014-04-25,0.00219
2014-04-28,0.00676
2014-04-29,0.00705
2014-04-30,0.01138
2014-05-01,-0.0046
2014-05-02,0
2014-05-05,0.00068
2014-05-06,0.00673
2014-05-07,-0.00123
2014-05-08,0.00513
2014-05-09,-0.01063
2014-05-12,0.00056
2014-05-13,0.00168
2014-05-14,0.00224
2014-05-15,0.00078
2014-05-16,-0.00539
2014-05-19,0.00011
2014-05-20,-0.00451
2014-05-21,0.00799
2014-05-22,0.01181
2014-05-23,0.00673
2014-05-27,0.00154
2014-05-28,0.00088
2014-05-29,-0.00926
2014-05-30,-0.0215
2014-06-02,-0.00147
2014-06-03,-0.00011
2014-06-04,0.00272
