"Index","VIV.Close"
2014-04-04,0.01225
2014-04-07,0.01498
2014-04-08,0.00431
2014-04-09,0.00143
2014-04-10,-0.01441
2014-04-11,0.01298
2014-04-14,-0.00143
2014-04-15,-0.00816
2014-04-16,-0.00096
2014-04-17,0.00625
2014-04-21,-0.01937
2014-04-22,0.00195
2014-04-23,0.00923
2014-04-24,-0.00097
2014-04-25,-0.00924
2014-04-28,0.01262
2014-04-29,-0.00678
2014-04-30,0.0292
2014-05-01,0.00424
2014-05-02,0.00562
2014-05-05,-0.01222
2014-05-06,0.00941
2014-05-07,0.00187
2014-05-08,-0.0146
2014-05-09,-0.02303
2014-05-12,0.02588
2014-05-13,0
2014-05-14,0.01549
2014-05-15,-0.02166
2014-05-16,0.01042
2014-05-19,-0.00378
2014-05-20,-0.02586
2014-05-21,-0.00194
2014-05-22,0.00291
2014-05-23,-0.0181
2014-05-27,-0.00594
2014-05-28,0.01772
2014-05-29,0.00632
2014-05-30,-0.02553
2014-06-02,-0.01
2014-06-03,0.00201
2014-06-04,-0.00251
2014-06-05,0.00651
2014-06-06,0.00647
2014-06-09,0.03317
2014-06-10,0
2014-06-11,-0.01499
2014-06-12,-0.00635
2014-06-13,0.01363
2014-06-16,-0.00923
2014-06-17,-0.01376
2014-06-18,0.02396
2014-06-19,-0.01558
2014-06-20,-0.01682
2014-06-23,-0.00701
2014-06-24,0.00251
2014-06-25,0.01542
2014-06-26,0.00885
2014-06-27,-0.00245
2014-06-30,0.00587
2014-07-01,-0.01128
2014-07-02,-0.00494
2014-07-03,0.00937
2014-07-07,-0.01833
2014-07-08,-0.00451
2014-07-09,-0.00554
2014-07-10,-0.00913
2014-07-11,-0.0046
2014-07-14,0.01977
2014-07-15,-0.00352
2014-07-16,0.00803
2014-07-17,-0.0025
2014-07-18,0.00699
2014-07-21,0.01039
2014-07-22,0.01126
2014-07-23,-0.00733
2014-07-24,0.01605
2014-07-25,-0.00775
2014-07-28,0.00146
2014-07-29,-0.01222
2014-07-30,0.00735
2014-07-31,-0.01673
2014-08-01,0.00099
2014-08-04,0.00987
2014-08-05,-0.07596
2014-08-06,0.0037
2014-08-07,-0.0262
2014-08-08,-0.00217
2014-08-11,0.02572
2014-08-12,0.00264
2014-08-13,-0.01596
