"Index","AMOT.Close"
2013-01-16,6.84
2013-01-17,6.78
2013-01-18,6.73
2013-01-22,6.8
2013-01-23,6.68
2013-01-24,6.75
2013-01-25,6.8
2013-01-29,6.7
2013-01-30,6.75
2013-01-31,6.74
2013-02-01,6.85
2013-02-04,7.05
2013-02-05,6.85
2013-02-06,7.02
2013-02-07,7.05
2013-02-08,7.05
2013-02-11,7.01
2013-02-12,7
2013-02-13,7.05
2013-02-14,7
2013-02-15,7.1
2013-02-19,7.15
2013-02-20,7.15
2013-02-21,7
2013-02-22,7
2013-02-25,7
2013-02-26,7
2013-02-27,7
2013-02-28,7
2013-03-01,7
2013-03-04,7.06
2013-03-05,7.1
2013-03-06,7.05
2013-03-07,7
2013-03-08,7
2013-03-11,7.1
2013-03-12,7.07
2013-03-13,7.03
2013-03-14,7
2013-03-18,7.04
2013-03-19,7
2013-03-20,7.09
2013-03-21,7.11
2013-03-22,7.04
2013-03-25,6.92
2013-03-26,6.88
2013-03-27,6.88
2013-03-28,6.9
2013-04-01,7
2013-04-02,7
2013-04-03,7
2013-04-04,6.93
2013-04-05,6.82
2013-04-08,6.93
2013-04-09,7.03
2013-04-10,6.86
2013-04-11,6.93
2013-04-12,7
2013-04-15,6.75
2013-04-16,6.79
2013-04-17,6.97
2013-04-18,6.78
2013-04-19,6.87
2013-04-22,6.85
2013-04-23,7.1
2013-04-24,7.05
2013-04-25,6.82
2013-04-26,7.03
2013-04-29,7.08
2013-04-30,7.14
2013-05-01,7.06
2013-05-02,7
2013-05-03,7.02
2013-05-06,7.03
2013-05-07,7.05
2013-05-08,7.04
2013-05-09,7.02
2013-05-10,6.93
2013-05-13,7.03
2013-05-14,6.89
2013-05-15,6.85
2013-05-16,6.95
2013-05-17,6.9
2013-05-20,6.73
2013-05-21,6.6
2013-05-22,6.58
2013-05-23,7.03
2013-05-24,6.83
2013-05-28,6.98
2013-05-29,6.95
2013-05-30,6.85
2013-05-31,6.81
2013-06-03,6.94
2013-06-04,6.84
2013-06-05,6.97
2013-06-06,6.84
2013-06-07,6.93
2013-06-10,6.95
2013-06-11,6.94
2013-06-12,6.97
2013-06-13,6.97
2013-06-14,6.95
2013-06-17,6.99
2013-06-18,6.99
2013-06-19,6.94
2013-06-20,6.78
2013-06-21,6.86
2013-06-24,6.71
2013-06-25,6.84
2013-06-27,6.8
2013-06-28,6.71
2013-07-01,6.72
2013-07-02,6.85
2013-07-03,6.86
2013-07-05,6.72
2013-07-08,6.96
2013-07-09,6.89
2013-07-10,6.97
2013-07-11,7.05
2013-07-12,7.04
2013-07-15,7.09
2013-07-16,7.1
2013-07-17,7.1
2013-07-18,7.11
2013-07-19,7.1
2013-07-22,7.09
2013-07-23,7.1
2013-07-24,7.15
2013-07-25,7.21
2013-07-26,7.19
2013-07-29,7.12
2013-07-30,7.2
2013-07-31,7.18
2013-08-01,7.27
2013-08-02,7.24
2013-08-05,7.19
2013-08-06,7.15
2013-08-07,7.15
2013-08-08,7.3
2013-08-09,7.2
2013-08-12,7.17
2013-08-13,7.23
2013-08-14,7.19
2013-08-15,7.2
2013-08-16,7.21
